timestamp,timein,lat,long,flight number,k_mean,atm_score
1610004436,0.817132007,10.13940455,106.7298511,VN8072,3,0
1610075730,0.807115367,10.14102565,106.7427564,VN8054,3,0
1610087346,1.148877915,10.13942183,106.73,VN8066,3,0
1610090812,1.29519822,10.13494888,106.64,VN8072,3,0
1610065167,0.937999593,10.13494888,106.64,VN8080,3,0
1610259825,1.030923151,10.14723969,106.7806399,VN8066,3,0
1610237963,0.934750693,10.13525534,106.6744708,VN8080,3,0
1610340025,1.069468897,10.13660353,106.6999729,VN8054,3,0
1610355607,0.919281093,10.13633692,106.6960963,VN8056,3,0
1610346317,0.953718077,10.15605003,106.82,VN8066,3,0
1610349736,0.957211398,10.13492985,106.6412325,VN8072,3,0
1610335969,1.12184937,10.16443474,106.85,VN8082,3,0
1610464707,0.895289756,10.14644849,106.5258566,2Y8816,3,0
1610432689,0.845417725,10.15126825,106.8,VN8066,3,0
