,timestamp,lat,long,flight number,k_mean
27799,1619366685.0,11.03916960916568,107.29750882749704,VN6019,0
27800,1619369125.0,10.990783891778534,107.31209037807608,VN6021,0
27801,1619371762.0,11.03244291783857,107.29977167135428,VN6023,0
27802,1619316798.0,10.990703772842288,107.31211131852687,VN6051,0
27803,1619340146.0,11.102322527348104,107.2723225273481,VN6055,0
27804,1619365531.0,10.992168633662068,107.31172681187816,VN6057,0
27805,1619347047.0,11.094074695248183,107.27603201224922,VN6211,0
27806,1619348923.0,11.14829329858763,107.2491466492938,VN6225,0
27807,1619355847.0,10.990538613265729,107.3121544530629,VN6233,0
27808,1619344111.0,10.882501784815156,107.33125089240758,VN6241,0
27809,1619331160.0,11.003504734158565,107.30863328477749,VN6251,0
27810,1619344657.0,11.03043281184724,107.30043281184724,VN6261,0
27811,1619323160.0,11.007497282202422,107.30749365847232,VN6283,0
27812,1619336953.0,10.98794993718436,107.31282478014523,VN6291,0
27813,1619326313.0,10.990783891778534,107.31209037807608,VN6431,0
27814,1619362603.0,11.0600015420908,107.29000102806052,VN6435,0
27815,1619329051.0,10.334252782069392,106.16880445131102,VN6512,1
27816,1619334774.0,10.397115348124828,106.11307683549958,VN6514,1
27817,1619346747.0,10.457692016137084,106.07076806454832,VN6516,1
27818,1619357066.0,10.272918174111808,106.23937726116772,VN6518,1
27819,1619347826.0,11.239357637293091,107.1888758652629,VN7081,0
27820,1619313943.0,10.408196738944854,106.10459021683457,VN7086,1
27821,1619367167.0,10.278801244019371,106.23170342105328,VN7088,1
27822,1619352184.0,11.011306500994928,107.30638183565485,VN7123,0
27823,1619355058.0,10.991939217139556,107.31178725998844,VN7125,0
27824,1619370793.0,11.02551785549617,107.30202040628134,VN7129,0
27825,1619311996.0,10.994594940627492,107.31108229219625,VN7189,0
27826,1619360483.0,11.14805562091333,107.24927786927866,VN7207,0
27827,1619368202.0,10.990538613265729,107.3121544530629,VN7211,0
27828,1619371038.0,10.98838087562363,107.31271394030632,VN7261,0
27829,1619357844.0,10.990482048002937,107.31216921601322,VN7263,0
27830,1619342326.0,10.991939217139556,107.31178725998844,VN7273,0
27831,1619347283.0,11.087656734549697,107.27882836727484,VN7275,0
27832,1619367224.0,11.02219356810222,107.3030709953431,VN7283,0
27833,1619359534.0,10.968519300217835,107.31751378586988,VN7291,0
27834,1619355427.0,10.990783891778534,107.31209037807608,VN7351,0
27835,1619367465.0,10.99264084858693,107.31160212146732,VN7353,0
27836,1619350458.0,11.07125096200888,107.28562548100444,VN7363,0
27837,1619339791.0,11.00224673417402,107.30898693669609,VN7365,0
27838,1619330562.0,10.988190721483472,107.31276288593388,VN7369,0
27839,1619332314.0,11.076709629405622,107.28341925881124,VN7371,0
27840,1619367585.0,10.990703772842288,107.31211131852687,VN7373,0
27841,1619361912.0,11.060001428248489,107.29000107118635,VN7399,0
27842,1619358465.0,10.990703772842288,107.31211131852686,VN7417,0
27843,1619327269.0,10.990783891778534,107.31209037807608,VN7793,0
27844,1619360076.0,10.269549742840027,106.24387435710008,VN7836,1
27845,1619342138.0,10.192858433561105,106.37569879726676,VN7840,1
