timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525827037,53.941,103.4864,35000,157,477,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525827095,53.8217,103.5702,35000,157,479,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525827161,53.69,103.6621,35000,157,479,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827219,53.5694,103.7458,35000,157,479,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827281,53.4417,103.8337,35000,157,481,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525827346,53.3127,103.9399,35000,150,492,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827405,53.1968,104.0482,35000,150,493,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827464,53.0747,104.1617,35000,151,490,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525827523,52.9592,104.2654,35000,151,489,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525827585,52.838,104.3743,35000,151,487,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827649,52.7156,104.5016,35000,140,496,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827710,52.6094,104.6523,35000,139,497,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827770,52.5051,104.7983,35000,140,494,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827831,52.3965,104.9413,35000,141,492,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827893,52.2874,105.0849,35000,141,492,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525827957,52.1741,105.234,35000,141,492,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525828015,52.0712,105.3681,35000,142,493,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525828079,51.9438,105.4739,35000,158,478,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525828142,51.8181,105.5528,35075,158,475,C01734,YYZ,HKG,ACA015,192,B77W,AC15
1525828200,51.6943,105.6306,35100,158,471,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525828262,51.5687,105.7088,35100,158,470,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525828322,51.4454,105.7853,35100,158,470,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525828383,51.3268,105.8582,35100,159,469,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525828447,51.197,105.9374,35100,158,470,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525828511,51.0671,106.0165,35100,159,463,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525828573,50.9445,106.0904,35100,159,462,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525828634,50.8227,106.1638,35100,159,462,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525828695,50.7005,106.2368,35100,159,461,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525828755,50.5772,106.31,35100,159,462,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525828815,50.4605,106.379,35100,159,464,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525828881,50.3299,106.4584,35100,153,469,C01734,YYZ,HKG,ACA015,64,B77W,AC15
1525828939,50.2281,106.5815,35100,138,485,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525829000,50.1257,106.7262,35100,137,480,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525829054,50.0354,106.819,35100,158,478,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525829126,49.9041,106.8699,35100,166,478,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525829184,49.8238,107.145,35100,138,479,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525829242,49.7232,107.2274,35100,166,480,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525829302,49.6134,107.2698,35100,166,480,C01734,YYZ,HKG,ACA015,0,B77W,AC15
1525829374,49.4815,107.3204,35100,166,480,C01734,YYZ,HKG,ACA015,0,B77W,AC15
