timestamp,timeland,timein,lat,long,flight number,k_mean
1609858983,1609860003,1019.672242,10.26437478,106.250937,2Y8816,2
1609807097,1609808129,1032.457252,10.26293548,106.2529355,3K555,2
1609858084,1609859045,960.8453004,10.26680163,106.2476012,GM501,2
1609801279,1609802188,908.2784686,10.23501787,106.2950536,KE9395,2
1609843334,1609844385,1050.97366,10.26713978,106.2471398,MH766,2
1609839289,1609840650,1360.825717,10.35789215,106.1462059,QH1522,2
1609817161,1609818284,1122.726814,10.21367272,106.3326182,SQ178,2
1609838888,1609840227,1338.738275,10.26405388,106.2513812,TR302,2
1609821410,1609822695,1284.727838,10.26832387,106.2455303,VJ322,2
1609840462,1609842051,1588.382601,10.27291817,106.2393773,VJ326,2
1609810500,1609811622,1121.298469,10.27247655,106.2399625,VJ338,2
1609822769,1609824013,1244.223988,10.37153807,106.1341015,VN1824,2
1609836424,1609837773,1349.226261,10.27247655,106.2399625,VN1826,2
1609839981,1609841287,1306.059484,10.27581128,106.2355754,VN1828,2
1609850946,1609851946,999.5306242,10.31722812,106.1865031,VN1830,2
1609836599,1609838015,1415.761426,10.27498838,106.2366512,VN1832,2
1609820329,1609822019,1690.516113,10.26503375,106.250027,VN5564,2
1609820090,1609821565,1474.653146,10.26945475,106.2440023,VN6510,2
1609831105,1609832158,1053.104717,10.2739898,106.2379626,VN6514,2
1609840256,1609841690,1433.356251,10.26934937,106.2441443,VN6526,2
1609838054,1609839010,956.0882425,10.18203661,106.4016972,VN8060,2
1609938805,1609940014,1209.548326,10.27590678,106.2354508,LD562,2
1609925884,1609926910,1026.190039,10.28764424,106.220577,QH1522,2
1609943275,1609944490,1214.242247,10.26293548,106.2529355,RH328,2
1609903248,1609904582,1333.710086,10.26293548,106.2529355,SQ178,2
1609925376,1609926322,945.6097655,10.19876392,106.3626684,TR302,2
1609902257,1609903237,980.6378648,10.27194517,106.2406684,VJ320,2
1609908304,1609909364,1060.245459,10.26825141,106.2456285,VJ322,2
1609918181,1609919418,1236.889287,10.26845217,106.2453565,VJ336,2
1609894968,1609895955,986.7911959,10.2752593,106.2362965,VJ338,2
1609906131,1609907551,1420.009545,10.27560752,106.2358414,VN1822,2
1609920539,1609921619,1079.768873,10.27015659,106.2430585,VN1826,2
1609925602,1609926501,898.5491378,10.26896724,106.2446599,VN1828,2
1609937468,1609938492,1024.628925,10.27791531,106.2328447,VN1830,2
1609922757,1609923979,1221.923323,10.27065272,106.2423933,VN1832,2
1609905927,1609907176,1249.030868,10.27581128,106.2355754,VN6510,2
1609937744,1609938938,1194.101952,10.27148903,106.2412759,VN6520,2
1609928343,1609929554,1210.768548,10.26658316,106.2478998,VN8060,2
1610031029,1610032276,1246.623453,10.263278,106.2524585,2Y8816,2
