timestamp,timeland,timein,lat,long,flight number,k_mean
1609548300.712064,1609549430.64,1129.927936077118,10.233862347643358,106.29695222575803,3K555,1
1609554526.9820848,1609555106.5,579.5179152488708,11.181956342070668,107.22927512276088,BR395,0
1609555329.4355326,1609556493.0,1163.5644674301147,10.98964513877804,107.31238703674144,CI781,0
1609579234.7943163,1609579813.142857,578.3485405445099,11.063470455596155,107.28867613899038,CI783,0
1609553768.4275663,1609554369.0,600.5724334716797,11.111209564296182,107.26817721573312,CX767,0
1609584380.76112,1609584981.8064516,601.0453314781189,11.07795856257985,107.28290676580468,CX799,0
1609563653.197822,1609564255.4444444,602.2466225624084,11.08264749429795,107.28095686217038,CZ489,0
1609596284.8621318,1609597700.1176472,1415.2555153369904,11.083860897116343,106.02188253293004,EK392,2
1609603625.1268663,1609604721.909091,1096.7822246551514,11.079922326725242,106.02023301982427,EY975,2
1609539373.1932845,1609539995.9714286,622.77814412117,11.009325143249152,107.3069631446212,JL79,0
1609538135.5334172,1609538761.4242425,625.8908252716064,11.1248922301584,107.261487050264,LD561,0
1609588521.1455016,1609589445.0,923.854498386383,10.251567144347517,106.26927857391252,LD562,1
1609554538.0844748,1609555590.612903,1052.5284283161163,10.205690995863389,106.34824379255409,MH750,1
1609523317.9161048,1609523928.7407408,610.8246359825134,10.947980321208108,107.32182289087297,MU7053,0
1609530650.8245668,1609531218.2903223,567.4657557010651,11.07958771652262,107.282233910727,NH833,0
1609595758.7498226,1609596378.7741935,620.0243709087372,11.05703854342251,107.29111563026753,NH891,0
1609565968.8753586,1609566726.413793,757.5384345054626,10.99376770351527,107.3113031105458,OZ3951,0
1609600486.866713,1609601129.9444444,643.0777313709259,11.024151494120428,107.30245448236128,OZ735,0
1609548845.3575048,1609549835.4827583,990.1252536773682,10.992168633662068,107.31172681187816,PR591,0
1609558415.3958497,1609559055.0,639.6041505336761,11.170315742638175,107.23644203969344,QH1123,0
1609596171.287526,1609596849.0,677.7124738693237,10.988505669973746,107.31268178659666,QH1125,0
1609596540.0456088,1609597193.24,653.1943912506104,11.134198636663164,107.25671781866106,QH1143,0
1609576248.1838784,1609576865.5,617.3161215782166,11.19198638310534,107.22283769015048,QH1153,0
1609584647.5881505,1609585271.142857,623.5547068119049,11.135592701300524,107.25598783550087,QH1173,0
1609573251.635839,1609573942.3913045,690.7554652690887,10.98971098223572,107.31236994078574,QH1321,0
1609564861.8975406,1609565483.3333333,621.435792684555,11.127580046405278,107.26012807424844,QH1335,0
1609580599.5427446,1609581586.4375,986.8947553634644,10.27141091974325,106.24138002929394,QH1522,1
1609599837.2710917,1609600395.9565215,558.6854300498962,10.98772890836222,107.31288151393704,QH1541,0
1609589235.896974,1609589851.0,615.1030259132385,11.20586748389719,107.21351206454672,QH1547,0
1609555117.9715674,1609556290.4074075,1172.4358401298523,10.987365484973225,107.31297462659526,QH155,0
1609601299.7436,1609601853.9565215,554.2129216194153,11.180256399943806,107.23034186659174,QH171,0
1609568194.3736012,1609568848.483871,654.1102697849274,11.030246818950593,107.30049363790118,QH1971,0
1609550913.9622326,1609551601.4642856,687.5020530223846,10.99376770351527,107.3113031105458,QH203,0
1609555898.7160614,1609556885.483871,986.7678096294404,11.05332209274825,107.2924915695612,QH205,0
1609564993.028807,1609565705.6,712.5711929798126,11.033301325756089,107.29948722943551,QH207,0
1609548681.882486,1609549641.5384614,959.6559753417968,11.056986420450212,107.29113509740012,QH209,0
1609591412.770691,1609592031.3846154,618.613924741745,11.109494629048688,107.26898925809738,QH215,0
1609577366.818132,1609578003.5555556,636.737423658371,11.159256243651694,107.24295874111236,QH241,0
1609586782.8639133,1609587667.1818182,884.3179049491882,10.994594940627492,107.31108229219625,QH243,0
1609597967.4369266,1609598594.413793,626.9768664836884,11.068234111107166,107.2868213999929,QH247,0
1609606050.009086,1609606625.392857,575.383770942688,11.12577990944036,107.2610398792538,QH281,0
1609601721.083549,1609602313.6774194,592.5938704013824,11.130385411204244,107.25869374016764,QH285,0
1609608627.6774547,1609609726.4375,1098.7600452899933,11.082954401002118,106.02150031779534,QR8968,2
1609604986.1830726,1609606375.4347825,1389.251709938049,11.085046156814569,106.02238460796356,QR970,2
1609606386.1816995,1609607028.0,641.818300485611,11.11168603665518,107.26795056414656,RH319,0
1609556957.7268991,1609558015.4,1057.6731009483335,10.233650725056114,106.29730145011224,SQ178,1
1609580319.4776523,1609581370.7407408,1051.2630882263184,10.176469189316618,106.4163845561666,TR302,1
1609556237.9982953,1609557115.2857144,877.2874190807343,11.055863832358606,107.29155319363215,VJ129,0
1609524203.8141372,1609524814.4615386,610.6474013328552,11.250200159806964,107.18020015980696,VJ133,0
1609586480.5324817,1609587216.9189188,736.3864371776581,10.987365484973225,107.31297462659526,VJ135,0
1609562055.5853322,1609562676.0,620.4146678447723,11.087321093597032,107.27897246059332,VJ137,0
1609578717.7745864,1609579403.15625,685.3816635608673,11.044552276896802,107.29564182151744,VJ139,0
1609574315.4823031,1609574922.0,606.5176968574524,11.15608298053713,107.24477730738283,VJ141,0
1609593832.397437,1609594417.764706,585.3672685623169,11.08498478820634,107.27996957641268,VJ145,0
1609548454.7758443,1609549232.3,777.5241556167603,11.030432811847234,107.30043281184724,VJ147,0
1609606556.45157,1609607221.0,664.5484299659729,11.075221059211207,107.284026324014,VJ151,0
1609599315.1693504,1609600046.4375,731.2681496143341,10.99061021655104,107.31213575792864,VJ155,0
1609607635.108429,1609608248.7419355,613.6335065364838,11.10544246280416,107.27088492560831,VJ159,0
