timestamp,lat,long,flight number
1609450136.0,11.02930894294936,107.30079945748099,5X146
1609475134.0,11.020105803256772,107.30372127860817,BR391
1609468398.0,11.001320797204265,107.30924558042985,BR395
1609453498.0,10.252439220819587,106.26798824684407,CI5886
1609467260.0,11.049455848980477,107.29389703498606,CI781
1609493682.0,11.01696355066944,107.30468621367152,CI783
1609460362.0,11.101902873642869,106.02981367798569,CV7324
1609467860.0,11.091048937615234,107.27736010963427,CX767
1609497329.0,11.024053443957525,107.30248551033205,CX799
1609439592.0,11.080853801848683,107.28170760369737,CZ8175
1609502561.0,11.08504615681457,106.02238460796357,EK392
1609517089.0,11.0848707713605,106.0223101487348,EY975
1609444885.0,11.084648738753911,106.02221596842675,EY995
1609453433.0,11.063470455596155,107.28867613899038,FX5194
1609513635.0,10.98964513877804,107.31238703674144,JL759
1609486776.0,11.099731266451101,106.02882601150631,K6816
1609509239.0,10.990703772842288,107.31211131852687,KE683
1609441124.0,10.924493870025605,107.32595096020485,MU7053
1609443811.0,11.010465531845425,107.30662936145899,NH833
1609509065.0,10.988190721483472,107.31276288593388,NH891
1609521681.0,11.033529303085738,107.29941147489531,OZ7353
1609471518.0,11.0619198855084,107.2892710220621,QH1123
1609510089.0,10.995921663699443,107.31072582294806,QH1143
1609491389.0,11.080028372154807,107.28205106987865,QH1153
1609498592.0,11.068408597448292,107.28675268279804,QH1173
1609510756.0,11.054071971745755,107.29221591523726,QH1313
1609486892.0,10.990783891778534,107.31209037807609,QH1321
1609479069.0,11.021624487847308,107.30324897569461,QH1501
1609494278.0,10.273980461433618,106.23797487898608,QH1522
1609514350.0,10.994594940627493,107.31108229219623,QH1541
1609502009.0,11.239087466546506,107.18908746654651,QH1547
1609515204.0,11.13353257502192,107.25706515004384,QH171
1609481829.0,11.148842801094986,107.248842801095,QH1971
1609465469.0,11.146687282715462,107.25003092407319,QH203
1609471895.0,11.063181175949811,107.28878745063321,QH205
1609478362.0,11.058693183269327,107.29049513090666,QH207
1609461988.0,10.988505669973746,107.31268178659666,QH209
1609504491.0,11.066610758432521,107.28745806882439,QH215
1609492112.0,10.92802200445958,107.32538467707235,QH241
1609500322.0,11.126190109826997,107.26083269219724,QH243
1609513807.0,10.990703772842288,107.31211131852687,QH247
1609520294.0,11.201364256387144,107.21659163245167,QH281
1609437746.0,11.203098268531658,107.2154120595407,QH283
1609517635.0,11.09616824729738,107.27510284513528,QH285
1609519454.0,11.083225247499273,106.02161435650189,QR970
1609445886.0,10.988190721483472,107.31276288593388,RH319
1609471220.0,10.266600883643209,106.24787555227701,SQ178
1609493795.0,10.266819337265607,106.24757704140623,TR302
1609463673.0,11.06130696972628,107.28950497837592,VJ127
1609470848.0,11.123778598851835,107.26204575816293,VJ129
1609440248.0,11.104793746301668,107.27118540803723,VJ133
1609499964.0,11.083583440532019,107.28056274119704,VJ135
1609476638.0,11.054751411678685,107.29196529405621,VJ137
1609492606.0,10.959295656441643,107.31953043762776,VJ139
1609489762.0,10.990538613265729,107.3121544530629,VJ141
1609513342.0,11.2249150097883,107.19988667971774,VJ145
1609462306.0,11.053431816454077,107.29245129746721,VJ147
1609438625.0,11.185345583252731,107.22712744433699,VJ151
1609437080.0,11.153980055489953,107.24597008323492,VJ155
1609440834.0,11.173421092616682,107.23456145682223,VJ159
1609516041.0,10.99101496280116,107.31202992560232,VJ169
1609515562.0,11.167313468680272,107.23823885615238,VJ173
